target	pipeline	src_type	model	protocol	rep	rmsd	tmscore	gdtts	gdtha	aligned_len	seq_len	source
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_beta	5	0.935	0.9697	0.9738	0.8468	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_ref15	1	0.904	0.9658	0.9657	0.8367	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_ref15	2	0.931	0.962	0.9657	0.8185	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_ref15	3	0.941	0.9627	0.9597	0.8286	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_ref15	4	0.903	0.9657	0.9698	0.8266	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	dualspace_ref15	5	0.943	0.9615	0.9637	0.8226	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_beta	1	0.881	0.9715	0.9718	0.871	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_beta	2	0.908	0.9684	0.9718	0.8669	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_beta	3	0.83	0.9776	0.9839	0.9052	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_beta	4	0.902	0.9697	0.9718	0.873	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_beta	5	0.87	0.9714	0.9798	0.873	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_ref15	1	0.83	0.9748	0.9798	0.9093	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_ref15	2	0.804	0.9756	0.9798	0.8972	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_ref15	3	0.791	0.9781	0.9879	0.9113	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_ref15	4	0.842	0.9719	0.9798	0.877	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_0	af_relaxed_ranked_0	normal_ref15	5	0.792	0.9777	0.9919	0.9052	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_beta	1	1.152	0.9511	0.9556	0.8286	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_beta	2	1.084	0.9577	0.9617	0.8387	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_beta	3	1.056	0.9607	0.9657	0.8468	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_beta	4	1.06	0.9602	0.9698	0.8468	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_beta	5	1.115	0.9582	0.9657	0.8306	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_ref15	1	1.076	0.9549	0.9556	0.8367	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_ref15	2	1.151	0.9488	0.9456	0.8145	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_ref15	3	1.065	0.9556	0.9597	0.8367	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_ref15	4	1.084	0.956	0.9637	0.8468	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	cartesian_ref15	5	1.103	0.9546	0.9597	0.8266	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_beta	1	1.146	0.9585	0.9677	0.8548	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_beta	2	1.065	0.9587	0.9637	0.8448	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_beta	3	1.22	0.9532	0.9536	0.8387	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_beta	4	1.161	0.9582	0.9677	0.8528	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_beta	5	1.06	0.9604	0.9657	0.8528	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_ref15	1	1.178	0.9504	0.9496	0.8044	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_ref15	2	1.099	0.9565	0.9617	0.8226	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_ref15	3	1.046	0.9606	0.9597	0.8448	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_ref15	4	1.113	0.9547	0.9556	0.8266	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	dualspace_ref15	5	1.113	0.9547	0.9496	0.8125	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_beta	1	1.09	0.9631	0.9698	0.8851	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_beta	2	1.139	0.9646	0.9758	0.8891	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_beta	3	1.135	0.9676	0.9758	0.9133	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_beta	4	1.072	0.9684	0.9778	0.9012	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_beta	5	1.153	0.9655	0.9738	0.9052	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_ref15	1	0.985	0.9677	0.9778	0.8952	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_ref15	2	0.924	0.9695	0.9778	0.8992	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_ref15	3	1.028	0.9609	0.9698	0.869	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_ref15	4	0.968	0.9667	0.9758	0.8891	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_1	af_relaxed_ranked_1	normal_ref15	5	0.988	0.9653	0.9738	0.881	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_beta	1	1.335	0.9452	0.9415	0.8024	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_beta	2	1.279	0.9516	0.9536	0.8266	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_beta	3	1.295	0.9477	0.9496	0.8024	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_beta	4	1.288	0.9468	0.9496	0.8085	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_beta	5	1.36	0.9448	0.9435	0.7903	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_ref15	1	1.291	0.9433	0.9415	0.8004	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_ref15	2	1.314	0.9386	0.9375	0.7863	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_ref15	3	1.333	0.9399	0.9375	0.7903	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_ref15	4	1.242	0.942	0.9456	0.8024	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	cartesian_ref15	5	1.117	0.9497	0.9476	0.7903	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_beta	1	1.112	0.9502	0.9476	0.8185	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_beta	2	1.037	0.9536	0.9556	0.8125	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_beta	3	1.097	0.9529	0.9556	0.8206	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_beta	4	1.075	0.9531	0.9536	0.8266	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_beta	5	1.18	0.9505	0.9577	0.8266	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_ref15	1	1.006	0.9553	0.9597	0.8085	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_ref15	2	1.02	0.9539	0.9476	0.7964	124	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_ref15	3	1.064	0.9499	0.9435	0.7843	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_ref15	4	1.078	0.9479	0.9395	0.7722	124	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	dualspace_ref15	5	1.075	0.9493	0.9435	0.7923	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_beta	1	1.237	0.9557	0.9677	0.8649	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_beta	2	1.204	0.9476	0.9456	0.7964	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_beta	3	1.081	0.9619	0.9718	0.877	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_beta	4	1.224	0.9562	0.9698	0.8649	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_beta	5	1.168	0.9596	0.9718	0.879	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_ref15	1	1.144	0.9548	0.9577	0.8266	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_ref15	2	1.092	0.9546	0.9577	0.8327	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_ref15	3	1.202	0.9553	0.9617	0.8387	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_ref15	4	1.189	0.9559	0.9718	0.8589	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_2	af_relaxed_ranked_2	normal_ref15	5	1.176	0.9585	0.9657	0.8629	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_beta	1	1.25	0.9431	0.9395	0.7843	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_beta	2	1.21	0.9472	0.9476	0.8044	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_beta	3	1.186	0.9476	0.9476	0.8044	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_beta	4	1.109	0.9496	0.9435	0.7923	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_beta	5	1.217	0.9455	0.9395	0.7883	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_ref15	1	1.614	0.9224	0.9012	0.7359	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_ref15	2	1.616	0.9268	0.9093	0.7359	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_ref15	3	1.611	0.9314	0.9214	0.756	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_ref15	4	1.505	0.9351	0.9274	0.7823	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	cartesian_ref15	5	1.615	0.9263	0.9113	0.744	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_beta	1	1.134	0.9521	0.9536	0.8185	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_beta	2	1.113	0.9526	0.9496	0.8206	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_beta	3	1.145	0.9485	0.9415	0.8065	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_beta	4	1.165	0.9539	0.9556	0.8427	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_beta	5	1.142	0.9504	0.9476	0.8226	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_ref15	1	1.779	0.9312	0.9214	0.7661	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_ref15	2	1.207	0.9482	0.9435	0.8085	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_ref15	3	1.191	0.9475	0.9435	0.7984	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_ref15	4	1.233	0.9452	0.9395	0.7823	122	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	dualspace_ref15	5	1.295	0.9384	0.9274	0.7681	123	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_beta	1	1.835	0.9484	0.9536	0.8347	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_beta	2	1.833	0.9521	0.9617	0.8609	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_beta	3	1.869	0.9442	0.9456	0.8448	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_beta	4	1.767	0.9508	0.9556	0.8448	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_beta	5	1.193	0.9583	0.9637	0.8629	121	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_ref15	1	2.076	0.9362	0.9335	0.8004	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_ref15	2	1.678	0.9485	0.9536	0.8327	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_ref15	3	1.717	0.9429	0.9435	0.8125	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_ref15	4	1.763	0.9453	0.9476	0.8226	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_3	af_relaxed_ranked_3	normal_ref15	5	1.977	0.9437	0.9516	0.8367	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_beta	1	2.19	0.9272	0.9093	0.748	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_beta	2	2.342	0.9275	0.9173	0.75	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_beta	3	2.434	0.9189	0.9052	0.744	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_beta	4	2.356	0.9276	0.9194	0.7702	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_beta	5	2.344	0.929	0.9214	0.7621	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_ref15	1	2.489	0.9291	0.9254	0.7661	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_ref15	2	2.303	0.9261	0.9133	0.748	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_ref15	3	2.391	0.9355	0.9335	0.7923	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_ref15	4	2.496	0.9263	0.9173	0.7621	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	cartesian_ref15	5	2.282	0.9347	0.9335	0.7823	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_beta	1	2.064	0.9358	0.9355	0.7883	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_beta	2	2.093	0.9312	0.9294	0.7722	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_beta	3	2.307	0.9255	0.9153	0.7702	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_beta	4	2.24	0.9392	0.9375	0.8024	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_beta	5	2.0	0.936	0.9375	0.7782	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_ref15	1	2.231	0.9328	0.9315	0.7742	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_ref15	2	2.273	0.9297	0.9254	0.756	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_ref15	3	2.274	0.9305	0.9274	0.7681	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_ref15	4	2.255	0.9329	0.9315	0.7762	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	dualspace_ref15	5	2.25	0.9296	0.9274	0.7742	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_beta	1	2.308	0.9369	0.9355	0.8226	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_beta	2	2.214	0.9303	0.9375	0.8085	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_beta	3	2.382	0.9299	0.9335	0.8004	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_beta	4	2.343	0.9412	0.9456	0.8266	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_beta	5	2.333	0.9374	0.9355	0.8065	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_ref15	1	2.245	0.9437	0.9435	0.8266	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_ref15	2	2.252	0.9453	0.9456	0.8448	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_ref15	3	2.231	0.9469	0.9496	0.8528	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_ref15	4	2.228	0.9458	0.9476	0.8387	120	124	af_relaxed
1A2K	blue	af_relaxed_ranked_4	af_relaxed_ranked_4	normal_ref15	5	2.263	0.9479	0.9536	0.8589	120	124	af_relaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_beta	1	1.073	0.9577	0.9577	0.8347	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_beta	2	1.146	0.9545	0.9617	0.8286	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_beta	3	1.212	0.9515	0.9496	0.8226	121	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_beta	4	1.209	0.9467	0.9435	0.7923	121	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_beta	5	1.212	0.9515	0.9556	0.8185	121	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_ref15	1	1.231	0.9421	0.9355	0.7823	122	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_ref15	2	1.459	0.942	0.9395	0.7944	120	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_ref15	3	1.523	0.9396	0.9355	0.7923	120	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_ref15	4	1.546	0.9376	0.9315	0.7843	120	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	cartesian_ref15	5	1.455	0.9407	0.9335	0.8044	120	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_beta	1	1.198	0.9509	0.9476	0.8165	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_beta	2	1.241	0.9464	0.9435	0.7923	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_beta	3	1.219	0.9493	0.9516	0.7984	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_beta	4	1.17	0.9528	0.9496	0.8266	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_beta	5	1.222	0.9532	0.9536	0.8427	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_ref15	1	1.123	0.9544	0.9577	0.8145	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_ref15	2	1.128	0.9546	0.9496	0.8206	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_ref15	3	1.166	0.9517	0.9496	0.8185	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_ref15	4	1.184	0.948	0.9476	0.7883	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	dualspace_ref15	5	1.172	0.9513	0.9476	0.7984	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_beta	1	1.231	0.9469	0.9476	0.8327	122	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_beta	2	1.438	0.9412	0.9355	0.7944	120	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_beta	3	1.179	0.9569	0.9637	0.8427	121	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_beta	4	1.386	0.946	0.9496	0.8105	122	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_beta	5	1.316	0.9409	0.9456	0.8185	122	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_ref15	1	1.642	0.9412	0.9435	0.7984	120	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_ref15	2	1.965	0.9372	0.9375	0.7964	120	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_ref15	3	2.027	0.9338	0.9315	0.8085	120	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_ref15	4	1.99	0.9316	0.9335	0.8206	120	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_0	af_unrelaxed_ranked_0	normal_ref15	5	2.112	0.9266	0.9234	0.8044	119	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_1	af_unrelaxed_ranked_1	cartesian_beta	1	0.968	0.9652	0.9637	0.8448	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_1	af_unrelaxed_ranked_1	cartesian_beta	2	1.004	0.9618	0.9577	0.8246	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_1	af_unrelaxed_ranked_1	cartesian_beta	3	1.037	0.9604	0.9516	0.8145	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_1	af_unrelaxed_ranked_1	cartesian_beta	4	0.933	0.9674	0.9657	0.8407	123	124	af_unrelaxed
1A2K	blue	af_unrelaxed_ranked_1	af_unrelaxed_ranked_1	cartesian_beta	5	0.986	0.9649	0.9617	0.8367	123	124	af_unrelaxed
