target_id,difficulty,category
2OUL,rigid,EI
2OZA,medium,OX
2PCC,rigid,ES
2SIC,rigid,EI
2SNI,rigid,EI
2UUY,rigid,EI
2VDB,rigid,OX
2VIS,rigid,AA
2VXT,rigid,AA
2W9E,rigid,AA
2X9A,rigid,OR
2YVJ,rigid,ER
2Z0E,medium,ER
3A4S,rigid,EI
3AAA,medium,OX
3AAD,medium,OX
3BIW,rigid,OX
3BP8,rigid,OX
3BX7,medium,OX
3CPH,medium,OG
3D5S,rigid,OX
3DAW,medium,OX
3EO1,medium,AA
3EOA,rigid,AA
3F1P,difficult,OX
3FN1,difficult,ER
3G6D,medium,AA
3H11,difficult,ER
3H2V,rigid,OX
3HI6,medium,AA
3HMX,rigid,AA
3K75,rigid,ER
3L5W,medium,AA
3L89,difficult,OR
3LVK,rigid,ER
3MJ9,rigid,AA
3MXW,rigid,AA
3P57,rigid,OX
3PC8,rigid,ER
3R9A,medium,OR
3RJQ,medium,AA
3RVW,rigid,AA
3S9D,medium,OR
3SE8,rigid,AA
3SGQ,rigid,EI
3SZK,medium,OX
3U7Y,rigid,AA
3V6Z,medium,AA
3VLB,rigid,EI
3WD5,rigid,AA
4CPA,rigid,EI
4DN4,rigid,AA
4DW2,difficult,AA
4ETQ,medium,AA
4FP8,rigid,AA
4FQI,rigid,AA
4FZA,medium,ER
4G6J,rigid,AA
4G6M,rigid,AA
4GAM,difficult,ER
4GXU,rigid,AA
4H03,rigid,ES
4HX3,rigid,EI
4IZ7,medium,EI
4JCV,medium,OX
4LW4,medium,ES
4M3K,medium,AS
4M5Z,rigid,AA
4M76,rigid,OR
4POU,medium,AS
4Y7M,rigid,AS
5C7X,difficult,AA
5CBA,medium,AA
5E5M,medium,AS
5GRJ,rigid,AA
5HGG,medium,AS
5HYS,medium,AA
5JMO,rigid,AS
5KOV,medium,AA
5O14,rigid,AA
5O1R,rigid,AA
5SV3,rigid,AS
5VNW,medium,AS
5WHK,medium,AA
5WK3,rigid,AA
5WUX,rigid,AA
5X0T,rigid,AA
5Y9J,rigid,AA
6A0Z,medium,AA
6A77,rigid,AA
6AL0,medium,AA
6B0S,rigid,AA
6BPC,rigid,AA
6CWG,rigid,AS
6DBG,rigid,AS
6EY6,medium,AS
6OC3,rigid,AA
7CEI,rigid,EI
BAAD,difficult,OX
BOYV,rigid,EI
BP57,rigid,OX
CP57,rigid,OX
