target	source	model_idx	blue_rmsd	green_rmsd	rmsd_diff	blue_tmscore	green_tmscore	tmscore_diff	blue_gdtts	green_gdtts	gdtts_diff
1AHW	amber_af	4	1.1460	1.0500	0.0960	0.9688	0.9745	-0.0057	0.9451	0.9591	-0.0140
1AHW	amber_boltz	0	0.9260	1.2510	-0.3250	0.9811	0.9605	0.0206	0.9801	0.9065	0.0736
1AHW	amber_boltz	1	1.0350	1.2150	-0.1800	0.9766	0.9630	0.0136	0.9720	0.9206	0.0514
1AHW	amber_boltz	2	1.0640	1.0910	-0.0270	0.9741	0.9721	0.0020	0.9614	0.9521	0.0093
1AHW	amber_boltz	3	1.2400	1.1050	0.1350	0.9621	0.9706	-0.0085	0.9194	0.9428	-0.0234
1AHW	amber_boltz	4	1.0790	1.3060	-0.2270	0.9726	0.9574	0.0152	0.9579	0.9007	0.0572
1AHW	boltz	0	0.9190	1.2460	-0.3270	0.9813	0.9607	0.0206	0.9801	0.9054	0.0747
1AHW	boltz	1	1.0300	1.2140	-0.1840	0.9769	0.9633	0.0136	0.9731	0.9194	0.0537
1AHW	boltz	2	1.0580	1.0890	-0.0310	0.9743	0.9722	0.0021	0.9614	0.9521	0.0093
1AHW	boltz	3	1.2370	1.1000	0.1370	0.9624	0.9708	-0.0084	0.9194	0.9486	-0.0292
1AHW	boltz	4	1.0630	1.2990	-0.2360	0.9734	0.9579	0.0155	0.9579	0.9019	0.0560
1AK4	af_relaxed	0	0.5720	0.5610	0.0110	0.9903	0.9905	-0.0002	0.9908	0.9908	0.0000
1AK4	af_relaxed	1	0.5690	0.5630	0.0060	0.9906	0.9906	0.0000	0.9908	0.9908	0.0000
1AK4	af_relaxed	2	0.5750	0.5460	0.0290	0.9903	0.9909	-0.0006	0.9893	0.9908	-0.0015
1AK4	af_relaxed	3	0.5270	0.5750	-0.0480	0.9912	0.9903	0.0009	0.9908	0.9893	0.0015
1AK4	af_relaxed	4	0.5620	0.5680	-0.0060	0.9905	0.9901	0.0004	0.9908	0.9908	0.0000
1AK4	af_unrelaxed	0	0.5670	0.5550	0.0120	0.9904	0.9907	-0.0003	0.9908	0.9908	0.0000
1AK4	af_unrelaxed	1	0.5220	0.5590	-0.0370	0.9914	0.9907	0.0007	0.9908	0.9908	0.0000
1AK4	af_unrelaxed	2	0.5710	0.5380	0.0330	0.9904	0.9912	-0.0008	0.9908	0.9908	0.0000
1AK4	af_unrelaxed	3	0.5640	0.5710	-0.0070	0.9907	0.9903	0.0004	0.9908	0.9908	0.0000
1AK4	af_unrelaxed	4	0.5590	0.5620	-0.0030	0.9906	0.9903	0.0003	0.9908	0.9908	0.0000
1AK4	amber_af	0	0.5720	0.5610	0.0110	0.9903	0.9905	-0.0002	0.9908	0.9908	0.0000
1AK4	amber_af	1	0.5260	0.5630	-0.0370	0.9913	0.9907	0.0006	0.9908	0.9908	0.0000
1AK4	amber_af	2	0.5750	0.5460	0.0290	0.9903	0.9909	-0.0006	0.9893	0.9908	-0.0015
1AK4	amber_af	3	0.5690	0.5750	-0.0060	0.9906	0.9903	0.0003	0.9908	0.9893	0.0015
1AK4	amber_af	4	0.5620	0.5670	-0.0050	0.9905	0.9901	0.0004	0.9908	0.9908	0.0000
1AK4	amber_boltz	0	0.6470	0.6600	-0.0130	0.9869	0.9869	0.0000	0.9862	0.9877	-0.0015
1AK4	amber_boltz	1	0.6330	0.6860	-0.0530	0.9878	0.9860	0.0018	0.9862	0.9862	0.0000
1AK4	amber_boltz	2	0.6760	0.6510	0.0250	0.9861	0.9874	-0.0013	0.9862	0.9877	-0.0015
1AK4	amber_boltz	3	0.6470	0.6640	-0.0170	0.9868	0.9870	-0.0002	0.9877	0.9877	0.0000
1AK4	amber_boltz	4	0.6420	0.6570	-0.0150	0.9872	0.9869	0.0003	0.9877	0.9862	0.0015
1AK4	boltz	0	0.6390	0.6520	-0.0130	0.9873	0.9872	0.0001	0.9877	0.9877	0.0000
1AK4	boltz	1	0.6260	0.6760	-0.0500	0.9880	0.9863	0.0017	0.9877	0.9862	0.0015
1AK4	boltz	2	0.6710	0.6470	0.0240	0.9862	0.9876	-0.0014	0.9877	0.9877	0.0000
1AK4	boltz	3	0.6400	0.6590	-0.0190	0.9871	0.9872	-0.0001	0.9877	0.9877	0.0000
1AK4	boltz	4	0.6380	0.6490	-0.0110	0.9874	0.9872	0.0002	0.9877	0.9877	0.0000
1AKJ	af_relaxed	0	0.9510	1.0020	-0.0510	0.9822	0.9798	0.0024	0.9620	0.9502	0.0118
1AKJ	af_relaxed	1	1.0350	1.0650	-0.0300	0.9789	0.9773	0.0016	0.9484	0.9457	0.0027
1AKJ	af_relaxed	2	1.0570	1.0360	0.0210	0.9778	0.9787	-0.0009	0.9457	0.9447	0.0010
1AKJ	af_relaxed	3	1.0050	1.0150	-0.0100	0.9804	0.9801	0.0003	0.9529	0.9574	-0.0045
1AKJ	af_relaxed	4	1.0670	1.0240	0.0430	0.9770	0.9795	-0.0025	0.9411	0.9520	-0.0109
1AKJ	af_unrelaxed	0	1.0620	1.0040	0.0580	0.9771	0.9796	-0.0025	0.9411	0.9484	-0.0073
1AKJ	af_unrelaxed	1	0.9500	1.0660	-0.1160	0.9821	0.9771	0.0050	0.9611	0.9457	0.0154
1AKJ	af_unrelaxed	2	1.0310	1.0370	-0.0060	0.9790	0.9785	0.0005	0.9475	0.9429	0.0046
1AKJ	af_unrelaxed	3	1.0550	1.0040	0.0510	0.9778	0.9804	-0.0026	0.9447	0.9547	-0.0100
1AKJ	af_unrelaxed	4	0.9880	1.0180	-0.0300	0.9810	0.9797	0.0013	0.9520	0.9511	0.0009
1AKJ	amber_af	0	1.0670	1.0020	0.0650	0.9769	0.9798	-0.0029	0.9420	0.9511	-0.0091
1AKJ	amber_af	1	0.9520	1.0670	-0.1150	0.9822	0.9772	0.0050	0.9611	0.9447	0.0164
1AKJ	amber_af	2	1.0330	1.0360	-0.0030	0.9790	0.9787	0.0003	0.9484	0.9438	0.0046
1AKJ	amber_af	3	1.0580	1.0170	0.0410	0.9778	0.9801	-0.0023	0.9457	0.9565	-0.0108
1AKJ	amber_af	4	0.9900	1.0240	-0.0340	0.9810	0.9795	0.0015	0.9547	0.9529	0.0018
1AKJ	amber_boltz	0	1.1190	1.0630	0.0560	0.9741	0.9775	-0.0034	0.9293	0.9393	-0.0100
1AKJ	amber_boltz	1	1.2550	0.9930	0.2620	0.9669	0.9801	-0.0132	0.9221	0.9475	-0.0254
1AKJ	amber_boltz	2	0.9960	1.2730	-0.2770	0.9809	0.9665	0.0144	0.9475	0.9185	0.0290
1AKJ	amber_boltz	3	1.1650	1.0850	0.0800	0.9722	0.9758	-0.0036	0.9275	0.9348	-0.0073
1AKJ	amber_boltz	4	1.0490	1.0660	-0.0170	0.9777	0.9771	0.0006	0.9411	0.9366	0.0045
1AKJ	boltz	0	1.1160	1.0610	0.0550	0.9743	0.9776	-0.0033	0.9312	0.9393	-0.0081
1AKJ	boltz	1	1.2510	0.9900	0.2610	0.9671	0.9802	-0.0131	0.9212	0.9475	-0.0263
1AKJ	boltz	2	0.9930	1.2710	-0.2780	0.9811	0.9666	0.0145	0.9493	0.9203	0.0290
1AKJ	boltz	3	1.1600	1.0820	0.0780	0.9724	0.9759	-0.0035	0.9257	0.9321	-0.0064
1AKJ	boltz	4	1.0420	1.0620	-0.0200	0.9780	0.9773	0.0007	0.9438	0.9375	0.0063
1ATN	af_relaxed	0	1.1530	1.1080	0.0450	0.9800	0.9817	-0.0017	0.9523	0.9583	-0.0060
1ATN	af_relaxed	1	1.1070	1.1360	-0.0290	0.9819	0.9806	0.0013	0.9590	0.9563	0.0027
1ATN	af_relaxed	2	1.0330	1.0270	0.0060	0.9844	0.9846	-0.0002	0.9671	0.9671	0.0000
1ATN	af_relaxed	3	1.1240	1.1170	0.0070	0.9815	0.9819	-0.0004	0.9577	0.9583	-0.0006
1ATN	af_relaxed	4	1.1010	1.0800	0.0210	0.9822	0.9829	-0.0007	0.9583	0.9610	-0.0027
1ATN	af_unrelaxed	0	1.1260	1.1070	0.0190	0.9816	0.9819	-0.0003	0.9577	0.9583	-0.0006
1ATN	af_unrelaxed	1	1.1020	1.1330	-0.0310	0.9823	0.9808	0.0015	0.9597	0.9563	0.0034
1ATN	af_unrelaxed	2	1.1510	1.0280	0.1230	0.9802	0.9847	-0.0045	0.9543	0.9664	-0.0121
1ATN	af_unrelaxed	3	1.0320	1.1180	-0.0860	0.9846	0.9820	0.0026	0.9677	0.9590	0.0087
1ATN	af_unrelaxed	4	1.1060	1.0820	0.0240	0.9821	0.9830	-0.0009	0.9597	0.9610	-0.0013
1ATN	amber_af	0	1.1250	1.1080	0.0170	0.9815	0.9817	-0.0002	0.9577	0.9590	-0.0013
1ATN	amber_af	1	1.1010	1.1360	-0.0350	0.9822	0.9806	0.0016	0.9583	0.9563	0.0020
1ATN	amber_af	2	1.1520	1.0270	0.1250	0.9800	0.9846	-0.0046	0.9530	0.9671	-0.0141
1ATN	amber_af	3	1.0340	1.1170	-0.0830	0.9844	0.9819	0.0025	0.9671	0.9590	0.0081
1ATN	amber_af	4	1.1070	1.0800	0.0270	0.9819	0.9829	-0.0010	0.9583	0.9610	-0.0027
1ATN	amber_boltz	0	2.1840	2.1450	0.0390	0.9342	0.9311	0.0031	0.8098	0.8031	0.0067
1ATN	amber_boltz	1	2.0700	2.3020	-0.2320	0.9347	0.9286	0.0061	0.8078	0.7997	0.0081
1ATN	amber_boltz	2	2.3160	2.3110	0.0050	0.9255	0.9304	-0.0049	0.7930	0.8017	-0.0087
1ATN	amber_boltz	3	2.1580	2.3780	-0.2200	0.9298	0.9269	0.0029	0.7997	0.7944	0.0053
1ATN	amber_boltz	4	2.0960	2.2690	-0.1730	0.9360	0.9296	0.0064	0.8125	0.8004	0.0121
1ATN	boltz	0	2.1850	2.1410	0.0440	0.9344	0.9313	0.0031	0.8112	0.8044	0.0068
1ATN	boltz	1	2.0700	2.3000	-0.2300	0.9348	0.9288	0.0060	0.8078	0.8017	0.0061
1ATN	boltz	2	2.3200	2.3080	0.0120	0.9255	0.9306	-0.0051	0.7923	0.8017	-0.0094
1ATN	boltz	3	2.1570	2.3790	-0.2220	0.9298	0.9269	0.0029	0.7991	0.7944	0.0047
1ATN	boltz	4	2.0920	2.2690	-0.1770	0.9362	0.9297	0.0065	0.8145	0.8024	0.0121
1AVX	af_relaxed	0	0.3560	0.3530	0.0030	0.9959	0.9960	-0.0001	1.0000	1.0000	0.0000
1AVX	af_relaxed	1	0.3600	0.3550	0.0050	0.9958	0.9959	-0.0001	1.0000	1.0000	0.0000
1AVX	af_relaxed	2	0.3580	0.3560	0.0020	0.9959	0.9959	0.0000	1.0000	1.0000	0.0000
1AVX	af_relaxed	3	0.3560	0.3560	0.0000	0.9959	0.9959	0.0000	1.0000	1.0000	0.0000
1AVX	af_relaxed	4	0.3550	0.3570	-0.0020	0.9959	0.9959	0.0000	1.0000	1.0000	0.0000
1AVX	af_unrelaxed	0	0.3450	0.3430	0.0020	0.9962	0.9962	0.0000	1.0000	1.0000	0.0000
1AVX	af_unrelaxed	1	0.3490	0.3440	0.0050	0.9961	0.9962	-0.0001	1.0000	1.0000	0.0000
1AVX	af_unrelaxed	2	0.3460	0.3460	0.0000	0.9961	0.9961	0.0000	1.0000	1.0000	0.0000
1AVX	af_unrelaxed	3	0.3470	0.3470	0.0000	0.9961	0.9961	0.0000	1.0000	1.0000	0.0000
1AVX	af_unrelaxed	4	0.3460	0.3490	-0.0030	0.9961	0.9961	0.0000	1.0000	1.0000	0.0000
1AVX	amber_af	0	0.3580	0.3630	-0.0050	0.9959	0.9958	0.0001	1.0000	0.9989	0.0011
1AVX	amber_af	1	0.3690	0.3550	0.0140	0.9956	0.9959	-0.0003	0.9989	1.0000	-0.0011
1AVX	amber_af	2	0.3550	0.3550	0.0000	0.9959	0.9959	0.0000	1.0000	1.0000	0.0000
1AVX	amber_af	3	0.3560	0.3660	-0.0100	0.9959	0.9957	0.0002	1.0000	0.9989	0.0011
1AVX	amber_af	4	0.3560	0.3580	-0.0020	0.9959	0.9959	0.0000	1.0000	1.0000	0.0000
1AVX	amber_boltz	0	0.3800	0.3870	-0.0070	0.9954	0.9952	0.0002	0.9989	1.0000	-0.0011
1AVX	amber_boltz	1	0.3730	0.3900	-0.0170	0.9955	0.9951	0.0004	1.0000	0.9989	0.0011
1AVX	amber_boltz	2	0.3990	0.3860	0.0130	0.9949	0.9952	-0.0003	0.9978	0.9989	-0.0011
1AVX	amber_boltz	3	0.3820	0.4020	-0.0200	0.9953	0.9948	0.0005	1.0000	0.9989	0.0011
1AVX	amber_boltz	4	0.4020	0.3700	0.0320	0.9948	0.9956	-0.0008	0.9978	1.0000	-0.0022
1AVX	boltz	0	0.3690	0.3750	-0.0060	0.9956	0.9955	0.0001	1.0000	1.0000	0.0000
1AVX	boltz	1	0.3610	0.3790	-0.0180	0.9958	0.9954	0.0004	1.0000	0.9989	0.0011
1AVX	boltz	2	0.3860	0.3740	0.0120	0.9952	0.9955	-0.0003	1.0000	0.9989	0.0011
1AVX	boltz	3	0.3680	0.3930	-0.0250	0.9956	0.9950	0.0006	1.0000	0.9989	0.0011
1AVX	boltz	4	0.3880	0.3590	0.0290	0.9952	0.9959	-0.0007	0.9978	1.0000	-0.0022
1AY7	af_relaxed	0	0.3990	0.3960	0.0030	0.9878	0.9880	-0.0002	1.0000	1.0000	0.0000
1AY7	af_relaxed	1	0.4060	0.4010	0.0050	0.9874	0.9877	-0.0003	1.0000	1.0000	0.0000
1AY7	af_relaxed	2	0.4200	0.4030	0.0170	0.9865	0.9876	-0.0011	1.0000	1.0000	0.0000
1AY7	af_relaxed	3	0.4040	0.4210	-0.0170	0.9875	0.9865	0.0010	1.0000	1.0000	0.0000
1AY7	af_relaxed	4	0.4080	0.4060	0.0020	0.9873	0.9874	-0.0001	1.0000	1.0000	0.0000
1AY7	af_unrelaxed	0	0.3940	0.3910	0.0030	0.9881	0.9883	-0.0002	1.0000	1.0000	0.0000
1AY7	af_unrelaxed	1	0.4000	0.3970	0.0030	0.9878	0.9880	-0.0002	1.0000	1.0000	0.0000
1AY7	af_unrelaxed	2	0.3930	0.3910	0.0020	0.9882	0.9883	-0.0001	1.0000	1.0000	0.0000
1AY7	af_unrelaxed	3	0.4010	0.4110	-0.0100	0.9878	0.9871	0.0007	1.0000	1.0000	0.0000
1AY7	af_unrelaxed	4	0.4100	0.4000	0.0100	0.9872	0.9878	-0.0006	1.0000	1.0000	0.0000
1AY7	amber_af	0	0.3990	0.3960	0.0030	0.9878	0.9880	-0.0002	1.0000	1.0000	0.0000
1AY7	amber_af	1	0.4060	0.4020	0.0040	0.9874	0.9877	-0.0003	1.0000	1.0000	0.0000
1AY7	amber_af	2	0.4040	0.4020	0.0020	0.9876	0.9876	0.0000	1.0000	1.0000	0.0000
1AY7	amber_af	3	0.4080	0.4210	-0.0130	0.9873	0.9865	0.0008	1.0000	1.0000	0.0000
1AY7	amber_af	4	0.4200	0.4070	0.0130	0.9866	0.9874	-0.0008	1.0000	1.0000	0.0000
1AY7	amber_boltz	0	0.3360	0.3280	0.0080	0.9914	0.9919	-0.0005	1.0000	0.9974	0.0026
1AY7	amber_boltz	1	0.4100	0.3590	0.0510	0.9878	0.9904	-0.0026	0.9948	0.9974	-0.0026
1AY7	amber_boltz	2	0.3930	0.3650	0.0280	0.9886	0.9899	-0.0013	0.9948	0.9974	-0.0026
1AY7	amber_boltz	3	0.3430	0.4450	-0.1020	0.9910	0.9867	0.0043	1.0000	0.9974	0.0026
1AY7	amber_boltz	4	0.4710	0.2870	0.1840	0.9853	0.9937	-0.0084	0.9922	1.0000	-0.0078
1AY7	boltz	0	0.3190	0.3130	0.0060	0.9923	0.9925	-0.0002	1.0000	0.9974	0.0026
1AY7	boltz	1	0.3960	0.3460	0.0500	0.9885	0.9911	-0.0026	0.9974	0.9974	0.0000
1AY7	boltz	2	0.3750	0.3550	0.0200	0.9895	0.9904	-0.0009	0.9974	1.0000	-0.0026
1AY7	boltz	3	0.3250	0.4220	-0.0970	0.9919	0.9879	0.0040	1.0000	0.9974	0.0026
1AY7	boltz	4	0.4430	0.2670	0.1760	0.9868	0.9945	-0.0077	0.9922	1.0000	-0.0078
1AZS	af_relaxed	0	0.7510	0.9770	-0.2260	0.9865	0.9837	0.0028	0.9921	0.9908	0.0013
1AZS	af_relaxed	1	0.7790	0.7790	0.0000	0.9854	0.9864	-0.0010	0.9882	0.9895	-0.0013
1AZS	af_relaxed	2	0.7550	0.7740	-0.0190	0.9860	0.9856	0.0004	0.9895	0.9882	0.0013
1AZS	af_relaxed	3	1.0250	0.7760	0.2490	0.9793	0.9858	-0.0065	0.9750	0.9855	-0.0105
1AZS	af_relaxed	4	0.7550	0.9940	-0.2390	0.9861	0.9800	0.0061	0.9855	0.9789	0.0066
1AZS	af_unrelaxed	0	1.0390	0.9780	0.0610	0.9788	0.9837	-0.0049	0.9763	0.9921	-0.0158
1AZS	af_unrelaxed	1	0.7570	0.7810	-0.0240	0.9859	0.9862	-0.0003	0.9868	0.9895	-0.0027
1AZS	af_unrelaxed	2	0.7520	0.7770	-0.0250	0.9865	0.9854	0.0011	0.9934	0.9882	0.0052
1AZS	af_unrelaxed	3	0.7570	0.7770	-0.0200	0.9857	0.9857	0.0000	0.9895	0.9895	0.0000
1AZS	af_unrelaxed	4	0.7840	1.0000	-0.2160	0.9850	0.9797	0.0053	0.9868	0.9789	0.0079
1AZS	amber_af	0	1.0250	0.9770	0.0480	0.9793	0.9837	-0.0044	0.9750	0.9908	-0.0158
1AZS	amber_af	1	0.7550	0.7790	-0.0240	0.9861	0.9864	-0.0003	0.9855	0.9895	-0.0040
1AZS	amber_af	2	0.7500	0.7740	-0.0240	0.9866	0.9856	0.0010	0.9921	0.9882	0.0039
1AZS	amber_af	3	0.7550	0.7760	-0.0210	0.9860	0.9858	0.0002	0.9895	0.9855	0.0040
1AZS	amber_af	4	0.7790	0.9940	-0.2150	0.9854	0.9800	0.0054	0.9882	0.9789	0.0093
1AZS	amber_boltz	0	0.6410	0.5940	0.0470	0.9906	0.9914	-0.0008	0.9947	0.9947	0.0000
1AZS	amber_boltz	1	0.5770	0.5850	-0.0080	0.9909	0.9913	-0.0004	0.9934	0.9961	-0.0027
1AZS	amber_boltz	2	0.6110	0.5590	0.0520	0.9909	0.9912	-0.0003	0.9961	0.9961	0.0000
1AZS	amber_boltz	3	0.8660	0.8500	0.0160	0.9874	0.9860	0.0014	0.9934	0.9895	0.0039
1AZS	amber_boltz	4	0.6380	0.5380	0.1000	0.9905	0.9914	-0.0009	0.9947	0.9947	0.0000
1AZS	boltz	0	0.6390	0.5930	0.0460	0.9906	0.9914	-0.0008	0.9947	0.9947	0.0000
1AZS	boltz	1	0.5710	0.5880	-0.0170	0.9910	0.9912	-0.0002	0.9934	0.9961	-0.0027
1AZS	boltz	2	0.6120	0.5530	0.0590	0.9908	0.9914	-0.0006	0.9961	0.9974	-0.0013
1AZS	boltz	3	0.8620	0.8450	0.0170	0.9875	0.9861	0.0014	0.9934	0.9908	0.0026
1AZS	boltz	4	0.6340	0.5260	0.1080	0.9906	0.9916	-0.0010	0.9961	0.9947	0.0014
1B6C	af_relaxed	0	0.4580	0.4720	-0.0140	0.9866	0.9857	0.0009	0.9953	0.9953	0.0000
1B6C	af_relaxed	1	0.4150	0.4760	-0.0610	0.9885	0.9857	0.0028	0.9953	0.9953	0.0000
1B6C	af_relaxed	2	0.3400	0.3270	0.0130	0.9922	0.9928	-0.0006	1.0000	1.0000	0.0000
1B6C	af_relaxed	3	0.4240	0.4310	-0.0070	0.9882	0.9878	0.0004	0.9977	0.9953	0.0024
1B6C	af_relaxed	4	0.4550	0.4730	-0.0180	0.9865	0.9855	0.0010	0.9930	0.9930	0.0000
1B6C	af_unrelaxed	0	0.4090	0.4140	-0.0050	0.9888	0.9886	0.0002	0.9977	0.9977	0.0000
