target	tm_af_relaxed	tm_af_unrelaxed	tm_boltz	tm_amber_af	tm_amber_boltz	mp_af_relaxed	mp_af_unrelaxed	mp_boltz	mp_amber_af	mp_amber_boltz	clash_af_relaxed	clash_af_unrelaxed	clash_boltz	clash_amber_af	clash_amber_boltz	best_tm_source	best_tm_value	best_mp_source	best_mp_value	amber_af_tm_delta	amber_af_mp_delta	amber_boltz_tm_delta	amber_boltz_mp_delta
1D6R	0.9965	0.9964	0.9976	0.9964	0.9974	0.5280	1.1660	0.9260	0.5160	0.3140	1.0840	12.9900	7.8000	1.1340	0.8380	boltz	0.9976	amber_boltz	0.3140	0.0000	-0.6500	-0.0002	-0.6120
1DE4	0.9433	0.9440	0.9232	0.9433	0.9227	1.0200	1.6620	1.3140	1.0420	0.5440	4.8460	29.2980	20.8800	4.7860	2.3860	af_unrelaxed	0.9440	amber_boltz	0.5440	-0.0007	-0.6200	-0.0005	-0.7700
1DFJ	0.9822	0.9827	0.9765	0.9822	0.9760	0.3700	1.2360	1.0580	0.3560	0.2980	1.3980	15.6140	10.9820	1.3080	0.6180	af_unrelaxed	0.9827	amber_boltz	0.2980	-0.0005	-0.8800	-0.0005	-0.7600
1DQJ	0.3565	0.3575	0.3567	0.3565	0.3561	0.5700	1.5360	1.0380	0.5840	0.5320	2.1880	23.3240	10.6160	2.1660	2.2360	af_unrelaxed	0.3575	amber_boltz	0.5320	-0.0010	-0.9520	-0.0006	-0.5060
1E4K	0.9226	0.9237	0.8939	0.9227	0.8934	0.3980	1.3180	1.2060	0.4200	0.4020	1.2380	20.8200	16.1440	1.6680	1.5700	af_unrelaxed	0.9237	af_relaxed	0.3980	-0.0011	-0.8980	-0.0005	-0.8040
1E6E	0.9901	0.9901	0.9876	0.9900	0.9875	0.4080	1.3180	1.1780	0.4740	0.4080	1.4560	16.6420	15.3860	1.7300	1.7760	af_unrelaxed	0.9901	af_relaxed	0.4080	-0.0002	-0.8440	-0.0001	-0.7700
1E6J	0.9186	0.9182	0.9149	0.9187	0.9153	1.4380	2.1120	1.2540	1.3840	0.4780	8.8460	45.9380	17.4780	8.2220	1.6200	amber_af	0.9187	amber_boltz	0.4780	0.0005	-0.7280	0.0003	-0.7760
1E96	0.9935	0.9937	0.9687	0.9935	0.9684											af_unrelaxed	0.9937			-0.0001		-0.0002	
1EAW	0.9925	0.9924	0.9919	0.9925	0.9918	0.2980	1.3540	0.9320	0.3320	0.1400	0.9280	16.5080	7.8740	1.0580	0.3960	af_relaxed	0.9925	amber_boltz	0.1400	0.0001	-1.0220	-0.0001	-0.7920
1EER	0.9153	0.9160	0.9121	0.9153	0.9116	0.5160	1.5920	1.2440	0.4980	0.4940	1.1800	20.2960	16.3840	1.1120	1.2820	af_unrelaxed	0.9160	amber_boltz	0.4940	-0.0007	-1.0940	-0.0005	-0.7500
1EFN	0.9645	0.9657	0.9675	0.9644	0.9662	0.3740	1.1420	1.2560	0.3740	0.2660	1.5960	13.9340	13.4720	1.5960	0.3800	boltz	0.9675	amber_boltz	0.2660	-0.0013	-0.7680	-0.0013	-0.9900
1EWY	0.9857	0.9859	0.9822	0.9857	0.9821	0.5540	1.2040	1.0540	0.5480	0.4180	1.6440	16.5460	10.9320	1.6120	0.9860	af_unrelaxed	0.9859	amber_boltz	0.4180	-0.0002	-0.6560	-0.0001	-0.6360
1EXB	0.9982	0.9984	0.9866	0.9982	0.9862	0.9680	1.6140	1.3240	0.9480	0.6020	7.1640	38.6900	21.6520	6.9840	2.8200	af_unrelaxed	0.9984	amber_boltz	0.6020	-0.0002	-0.6660	-0.0004	-0.7220
1EZU	0.9741	0.9739	0.9550	0.9740	0.9550	0.1920	1.0900	0.8820	0.1760	0.2160	0.4680	10.1820	6.9920	0.4680	0.6880	af_relaxed	0.9741	amber_af	0.1760	0.0002	-0.9140	-0.0001	-0.6660
1F34	0.9917	0.9920	0.9886	0.9917	0.9885	0.4360	1.2320	1.0240	0.4180	0.3500	0.7060	13.5420	10.1160	0.6760	0.6480	af_unrelaxed	0.9920	amber_boltz	0.3500	-0.0002	-0.8140	-0.0002	-0.6740
1F51	0.9769	0.9771	0.9351	0.9769	0.9349	0.3120	1.2860	1.2960	0.3220	0.4340	1.1040	18.4240	20.0980	1.1840	1.7980	af_unrelaxed	0.9771	af_relaxed	0.3120	-0.0003	-0.9640	-0.0002	-0.8620
1F6M	0.8042	0.8043	0.9839	0.8042	0.9836	0.6560	1.4440	1.0320	0.6720	0.2400	3.3200	24.3240	10.2060	3.3520	0.7760	boltz	0.9839	amber_boltz	0.2400	-0.0002	-0.7720	-0.0003	-0.7920
1FAK	0.9875	0.9885	0.9883	0.9876	0.9881	1.4360	2.4440	1.0860	1.4900	0.3360	5.3560	43.2980	10.5980	5.3080	0.6160	af_unrelaxed	0.9885	amber_boltz	0.3360	-0.0009	-0.9540	-0.0002	-0.7500
1FC2	0.7035	0.7229	0.7258	0.7037	0.7236	1.5240	2.0740	1.5280	1.4700	0.8420	11.8900	67.9880	34.8080	10.0700	5.3940	boltz	0.7258	amber_boltz	0.8420	-0.0191	-0.6040	-0.0022	-0.6860
1FCC	0.9448	0.9457	0.9645	0.9449	0.9643	0.6480	1.3980	0.8960	0.6980	0.1560	3.3480	25.8880	7.6220	3.7840	0.4860	boltz	0.9645	amber_boltz	0.1560	-0.0008	-0.7000	-0.0002	-0.7400
1FFW	0.9938	0.9939	0.9932	0.9938	0.9931	0.2720	1.2640	0.8580	0.2480	0.2160	0.9960	18.5580	6.7140	0.8620	0.7280	af_unrelaxed	0.9939	amber_boltz	0.2160	-0.0000	-1.0160	-0.0001	-0.6420
1FLE	0.9970	0.9971	0.9971	0.9970	0.9968	0.4360	1.3860	1.1660	0.5120	0.3580	0.3720	11.0420	9.8640	0.6080	0.6540	af_unrelaxed	0.9971	amber_boltz	0.3580	-0.0001	-0.8740	-0.0002	-0.8080
1FQ1	0.9679	0.9683	0.9690	0.9679	0.9686	0.6820	1.6960	1.1660	0.6560	0.4860	1.7200	17.7460	13.3820	1.5360	1.4060	boltz	0.9690	amber_boltz	0.4860	-0.0004	-1.0400	-0.0004	-0.6800
1FQJ	0.9934	0.9935	0.9928	0.9934	0.9927	0.2640	1.1260	1.0500	0.2600	0.2220	0.8720	13.2600	10.8900	0.8440	0.6820	af_unrelaxed	0.9935	amber_boltz	0.2220	-0.0002	-0.8660	-0.0001	-0.8280
1GCQ	0.9348	0.9363	0.9407	0.9347	0.9392	0.4680	1.4600	1.1380	0.4680	0.5080	1.4220	20.1520	13.6360	1.4220	2.3360	boltz	0.9407	af_relaxed	0.4680	-0.0016	-0.9920	-0.0015	-0.6300
1GHQ	0.9563	0.9565	0.9605	0.9563	0.9598	0.5740	1.5500	1.4060	0.5960	0.6020	1.4120	16.8200	26.5100	1.4980	3.1500	boltz	0.9605	af_relaxed	0.5740	-0.0003	-0.9540	-0.0007	-0.8040
1GL1	0.9874	0.9875	0.9884	0.9874	0.9883	0.3880	1.4480	0.9180	0.3880	0.2240	1.1180	15.2860	7.2620	1.2180	0.4040	boltz	0.9884	amber_boltz	0.2240	-0.0001	-1.0600	-0.0001	-0.6940
1GLA	0.9223	0.9235	0.9267	0.9222	0.7753	0.9680	1.7640	1.1040	1.0640	0.3040	3.7800	30.4520	12.4080	4.4500	0.8600	boltz	0.9267	amber_boltz	0.3040	-0.0013	-0.7000	-0.1514	-0.8000
1GP2	0.9536	0.9538	0.9513	0.9536	0.9512	0.5880	1.4740	1.0520	0.5460	0.3700	2.2120	19.2220	10.8480	2.0680	1.0980	af_unrelaxed	0.9538	amber_boltz	0.3700	-0.0002	-0.9280	-0.0001	-0.6820
1GPW	0.9691	0.9693	0.9766	0.9691	0.9763	0.6880	1.4480	1.2740	0.6680	0.6160	2.1460	17.6620	16.4600	2.0060	1.8980	boltz	0.9766	amber_boltz	0.6160	-0.0001	-0.7800	-0.0003	-0.6580
1GRN	0.9392	0.9392	0.9679	0.9392	0.9680	0.4900	1.3760	1.0800	0.4820	0.3800	0.6760	11.0260	11.6060	0.6460	1.0960	amber_boltz	0.9680	amber_boltz	0.3800	0.0000	-0.8940	0.0001	-0.7000
1GXD	0.8895	0.8896	0.8933	0.8895	0.8931	0.6320	1.7560	1.1720	0.6380	0.4580	1.4580	23.8260	14.7880	1.6180	1.6040	boltz	0.8933	amber_boltz	0.4580	-0.0001	-1.1180	-0.0002	-0.7140
1H1V	0.9897	0.9898	0.9816	0.9897	0.9814	1.0140	1.8480	1.1600	1.0680	0.3800	4.6980	36.0600	14.3780	5.4980	1.4540	af_unrelaxed	0.9898	amber_boltz	0.3800	-0.0001	-0.7800	-0.0001	-0.7800
1H9D	0.9763	0.9765	0.9598	0.9762	0.9592	0.4320	1.4700	1.0560	0.4480	0.2980	0.7660	16.8720	11.1180	0.8680	0.9220	af_unrelaxed	0.9765	amber_boltz	0.2980	-0.0002	-1.0220	-0.0006	-0.7580
1HCF	0.8656	0.8650	0.8787	0.8655	0.8781	0.9760	2.0880	1.4960	0.9780	0.6960	2.8840	27.3720	26.9760	2.8080	2.2300	boltz	0.8787	amber_boltz	0.6960	0.0005	-1.1100	-0.0006	-0.8000
1HE1	0.9871	0.9873	0.9873	0.9871	0.9869	0.2140	1.0600	0.8860	0.1920	0.1640	0.6700	10.9360	7.0960	0.5860	0.5020	af_unrelaxed	0.9873	amber_boltz	0.1640	-0.0002	-0.8680	-0.0003	-0.7220
1HE8	0.8121	0.8124	0.8916	0.8120	0.8902	1.0740	2.1100	1.6780	1.0580	1.1500	3.8700	41.5940	32.5320	3.7380	3.9500	boltz	0.8916	amber_af	1.0580	-0.0004	-1.0520	-0.0013	-0.5280
1HIA	0.9764	0.9757	0.9813	0.9763	0.9806	0.1540	1.1320	1.0160	0.1620	0.3580	0.4320	9.8340	9.2580	0.3360	1.0580	boltz	0.9813	af_relaxed	0.1540	0.0007	-0.9700	-0.0007	-0.6580
1I2M	0.8671	0.8674	0.8641	0.8671	0.8637	0.3620	1.2560	1.1800	0.3780	0.3880	0.9180	15.9100	15.0120	0.9920	1.1340	af_unrelaxed	0.8674	af_relaxed	0.3620	-0.0003	-0.8780	-0.0004	-0.7920
1I4D	0.9581	0.9585	0.9364	0.9581	0.9355	0.7600	1.6380	1.2680	0.7340	0.4180	3.4100	21.9340	18.6480	3.4320	1.6840	af_unrelaxed	0.9585	amber_boltz	0.4180	-0.0004	-0.9040	-0.0009	-0.8500
1IB1	0.9631	0.9638	0.9651	0.9631	0.9647	0.8060	1.5820	1.1820	0.7820	0.3620	4.0500	28.0820	15.3340	4.1440	1.2460	boltz	0.9651	amber_boltz	0.3620	-0.0007	-0.8000	-0.0005	-0.8200
1IBR	0.9903	0.9905	0.9214	0.9903	0.9205	0.3480	1.3420	1.2700	0.3520	0.4340	1.2720	19.2880	18.7200	1.2920	1.7760	af_unrelaxed	0.9905	af_relaxed	0.3480	-0.0002	-0.9900	-0.0008	-0.8360
1IJK	0.9956	0.9958	0.9912	0.9955	0.9907	1.0320	1.7140	1.3300	1.0840	0.6400	4.6580	32.0720	20.9280	4.4340	2.0400	af_unrelaxed	0.9958	amber_boltz	0.6400	-0.0002	-0.6300	-0.0005	-0.6900
1IRA	0.9821	0.9821	0.9854	0.9820	0.9852	0.6580	1.6300	1.1760	0.6780	0.5700	1.7120	21.7620	14.8160	1.8780	2.0420	boltz	0.9854	amber_boltz	0.5700	-0.0001	-0.9520	-0.0002	-0.6060
1J2J	0.9931	0.9931	0.9845	0.9931	0.9847	0.6580	1.2860	1.2520	0.6600	0.5740	3.7720	19.6660	18.0480	3.5340	2.8780	af_relaxed	0.9931	amber_boltz	0.5740	0.0000	-0.6260	0.0001	-0.6780
1JIW	0.9783	0.9790	0.9629	0.9783	0.9617	0.4440	1.1980	0.8320	0.4220	0.1700	0.9840	14.6600	6.1440	0.9600	0.2880	af_unrelaxed	0.9790	amber_boltz	0.1700	-0.0007	-0.7760	-0.0011	-0.6620
1JK9	0.9830	0.9829	0.9889	0.9830	0.9889	0.5460	1.4560	1.1220	0.5480	0.3020	2.0740	23.9280	13.1000	2.0740	1.1220	amber_boltz	0.9889	amber_boltz	0.3020	0.0001	-0.9080	0.0001	-0.8200
1JMO	0.8987	0.8991	0.9294	0.8988	0.9288	0.9260	2.1060	1.2720	0.9360	0.7160	2.8160	29.5960	18.0600	2.9360	1.9400	boltz	0.9294	amber_boltz	0.7160	-0.0003	-1.1700	-0.0006	-0.5560
1JPS	0.9418	0.9414	0.9703	0.9417	0.9702	0.6880	1.6200	1.0640	0.7160	0.2740	2.1940	25.7300	11.1940	2.7560	0.8780	boltz	0.9703	amber_boltz	0.2740	0.0003	-0.9040	-0.0001	-0.7900
1JTD	0.9935	0.9948	0.9970	0.9935	0.9968	1.0800	1.6160	1.2380	1.1480	0.4800	5.3560	35.5640	17.4540	5.4840	1.8600	boltz	0.9970	amber_boltz	0.4800	-0.0013	-0.4680	-0.0002	-0.7580
1JTG	0.9934	0.9936	0.9938	0.9934	0.9935	0.5680	1.3880	1.2440	0.5680	0.4760	1.8900	20.5320	16.4540	1.8560	1.0200	boltz	0.9938	amber_boltz	0.4760	-0.0002	-0.8200	-0.0003	-0.7680
1JWH	0.9879	0.9881	0.9828	0.9879	0.9827	0.2320	1.0960	0.8340	0.2380	0.1700	0.7300	11.9180	6.1540	0.7500	0.4580	af_unrelaxed	0.9881	amber_boltz	0.1700	-0.0001	-0.8580	-0.0000	-0.6640
1JZD	0.9715	0.9722	0.9603	0.9715	0.9598	0.7180	1.4000	0.9780	0.6880	0.3480	2.5680	16.4360	8.8220	2.4080	0.7780	af_unrelaxed	0.9722	amber_boltz	0.3480	-0.0006	-0.7120	-0.0005	-0.6300
1K5D	0.9561	0.9562	0.9562	0.9561	0.9559	0.4440	1.4800	1.4280	0.4420	0.5860	0.9140	17.3640	18.8840	0.8420	1.5040	af_unrelaxed	0.9562	amber_af	0.4420	-0.0001	-1.0380	-0.0003	-0.8420
1K74	0.9091	0.9092	0.8758	0.9091	0.8753	0.8700	2.0260	1.3300	0.8940	0.5740	2.7700	27.5680	21.8100	2.9380	2.6260	af_unrelaxed	0.9092	amber_boltz	0.5740	-0.0001	-1.1320	-0.0005	-0.7560
1KAC	0.9962	0.9977	0.9712	0.9961	0.9707	1.3520	1.9700	1.4760	1.3420	0.8340	6.3580	32.6880	28.6440	6.1880	3.9860	af_unrelaxed	0.9977	amber_boltz	0.8340	-0.0015	-0.6280	-0.0005	-0.6420
1KKL	0.9523	0.9515	0.6248	0.9523	0.6245	0.6040	1.6160	1.6060	0.5640	0.7740	2.4680	31.9280	31.7600	2.4660	3.4480	af_relaxed	0.9523	amber_af	0.5640	0.0008	-1.0520	-0.0002	-0.8320
1KLU	0.9904	0.9919	0.9915	0.9904	0.9910	0.5180	1.2000	1.2700	0.5080	0.4860	2.2880	15.5900	18.8220	2.3500	1.9760	af_unrelaxed	0.9919	amber_boltz	0.4860	-0.0014	-0.6920	-0.0004	-0.7840
1KTZ	0.9042	0.9044	0.9122	0.9043	0.9115	0.9140	1.9000	1.4060	0.8640	0.4320	3.9040	27.8040	15.7680	3.8380	0.5500	boltz	0.9122	amber_boltz	0.4320	-0.0001	-1.0360	-0.0007	-0.9740
1KXP	0.9896	0.9900	0.9858	0.9896	0.9858	0.3700	1.3060	1.1240	0.4000	0.3620	1.0620	16.7140	13.0680	1.2240	1.3540	af_unrelaxed	0.9900	amber_boltz	0.3620	-0.0004	-0.9060	-0.0000	-0.7620
1LFD	0.9718	0.9724	0.9657	0.9719	0.9653	0.3860	1.2640	1.2100	0.3560	0.5540	0.9900	16.5940	14.8000	0.8940	1.4400	af_unrelaxed	0.9724	amber_af	0.3560	-0.0005	-0.9080	-0.0005	-0.6560
1M10	0.9776	0.9775	0.9775	0.9776	0.9774	0.6020	1.5040	1.3320	0.5860	0.5760	1.0700	15.0520	12.2160	0.9640	1.0440	af_relaxed	0.9776	amber_boltz	0.5760	0.0001	-0.9180	-0.0001	-0.7560
1M27	0.9312	0.9296	0.9761	0.9321	0.9763	1.2380	2.0360	1.2520	1.1940	0.4340	8.8840	70.6880	18.3000	6.6640	1.8620	amber_boltz	0.9763	amber_boltz	0.4340	0.0025	-0.8420	0.0002	-0.8180
1MAH	0.9912	0.9921	0.9898	0.9912	0.9897	1.2680	1.9660	1.2620	1.2600	0.7160	4.7500	39.9900	14.7000	5.2120	2.2560	af_unrelaxed	0.9921	amber_boltz	0.7160	-0.0009	-0.7060	-0.0001	-0.5460
1ML0	0.4183	0.4192	0.4063	0.4183	0.4059	2.5020	3.6880	2.2800	2.4880	2.1880	13.8500	145.1840	165.0320	12.9200	16.9440	af_unrelaxed	0.4192	amber_boltz	2.1880	-0.0009	-1.2000	-0.0004	-0.0920
1MLC	0.9608	0.9617	0.9741	0.9607	0.9737	0.8300	1.6280	1.0980	0.7960	0.4760	4.0740	27.4380	12.1760	3.0260	1.5240	boltz	0.9741	amber_boltz	0.4760	-0.0010	-0.8320	-0.0004	-0.6220
1MQ8	0.9718	0.9719	0.9491	0.9717	0.9490	0.8420	1.7260	1.1880	0.8360	0.4220	2.9180	28.9980	13.9940	2.9520	1.2280	af_unrelaxed	0.9719	amber_boltz	0.4220	-0.0002	-0.8900	-0.0002	-0.7660
1N2C	0.9953	0.9954	0.9943	0.9953	0.9944	0.5400	1.4580	1.2260	0.5440	0.5520	1.3400	16.3980	13.2120	1.3600	1.4000	af_unrelaxed	0.9954	af_relaxed	0.5400	-0.0001	-0.9140	0.0001	-0.6740
1NW9	0.9755	0.9780	0.9912	0.9755	0.9902	1.4560	2.0260	1.5280	1.3860	0.6880	11.5440	54.0420	34.9220	12.1660	4.0940	boltz	0.9912	amber_boltz	0.6880	-0.0025	-0.6400	-0.0010	-0.8400
1OC0	0.9622	0.9624	0.9661	0.9622	0.9656	0.7800	1.4880	1.3040	0.7900	0.5980	3.2020	26.6680	18.3220	3.6740	1.2660	boltz	0.9661	amber_boltz	0.5980	-0.0002	-0.6980	-0.0004	-0.7060
1OFU	0.9874	0.9875	0.9798	0.9874	0.9797	0.5000	1.3300	1.2480	0.5080	0.4840	2.2480	19.7920	17.8880	2.2480	2.2160	af_unrelaxed	0.9875	amber_boltz	0.4840	-0.0001	-0.8220	-0.0002	-0.7640
1OPH	0.9763	0.9765	0.9679	0.9763	0.9677	0.3620	1.4200	1.0820	0.3320	0.2640	1.0680	18.4420	11.9660	0.9120	0.7380	af_unrelaxed	0.9765	amber_boltz	0.2640	-0.0002	-1.0880	-0.0002	-0.8180
1OYV	0.9978	0.9980	0.9979	0.9978	0.9977	0.9300	1.8440	1.1580	0.9480	0.5140	3.9140	32.3860	13.0480	3.9140	1.1780	af_unrelaxed	0.9980	amber_boltz	0.5140	-0.0002	-0.8960	-0.0002	-0.6440
1PPE	0.9941	0.9943	0.9948	0.9941	0.9947	0.3640	1.1220	0.8440	0.3900	0.3260	0.3820	11.1140	6.4320	0.4380	0.6580	boltz	0.9948	amber_boltz	0.3260	-0.0001	-0.7320	-0.0002	-0.5180
1PVH	0.9830	0.9832	0.9780	0.9830	0.9780	0.2100	1.2160	1.0440	0.2520	0.1900	0.6520	16.2840	10.7340	0.8240	0.5840	af_unrelaxed	0.9832	amber_boltz	0.1900	-0.0002	-0.9640	-0.0001	-0.8540
1PXV	0.9548	0.9547	0.9484	0.9548	0.9484	0.4160	1.5160	1.2160	0.4320	0.4380	0.5200	14.8580	16.1040	0.5620	1.4200	amber_af	0.9548	af_relaxed	0.4160	0.0001	-1.0840	0.0000	-0.7780
1QA9	0.9724	0.9726	0.9683	0.9724	0.9680	0.5180	1.4700	1.1120	0.5300	0.5900	1.3020	18.1080	8.6180	1.3020	1.4880	af_unrelaxed	0.9726	af_relaxed	0.5180	-0.0002	-0.9400	-0.0003	-0.5220
1R0R	0.9982	0.9983	0.9979	0.9982	0.9978	0.3060	1.0740	0.7240	0.2560	0.1500	0.5280	11.0820	4.5320	0.4840	0.3520	af_unrelaxed	0.9983	amber_boltz	0.1500	-0.0001	-0.8180	-0.0001	-0.5740
1R6Q	0.9846	0.9849	0.9869	0.9846	0.9867	0.3160	1.0700	0.8980	0.2660	0.1160	1.1040	9.4940	7.2320	0.8820	0.3320	boltz	0.9869	amber_boltz	0.1160	-0.0003	-0.8040	-0.0001	-0.7820
1R8S	0.9006	0.9013	0.9445	0.9006	0.9434	0.5080	1.3920	1.1780	0.5360	0.3340	2.4980	23.5800	15.0340	2.6760	1.2160	boltz	0.9445	amber_boltz	0.3340	-0.0007	-0.8560	-0.0011	-0.8440
1RKE	0.8490	0.8495	0.8966	0.8491	0.8962	0.4460	1.2880	1.3020	0.4700	0.5420	1.8960	17.0920	20.6100	2.0120	2.5840	boltz	0.8966	af_relaxed	0.4460	-0.0004	-0.8180	-0.0004	-0.7600
1RLB	0.9588	0.9591	0.9608	0.9587	0.9602	0.3720	1.3480	1.1920	0.3380	0.5300	1.5320	18.7700	15.1080	1.0640	2.0640	boltz	0.9608	amber_af	0.3380	-0.0004	-1.0100	-0.0007	-0.6620
1RV6	0.9343	0.9342	0.9323	0.9342	0.9320	0.7480	1.4520	0.9060	0.7900	0.3580	2.7080	21.2660	7.7900	2.9780	1.0140	af_relaxed	0.9343	amber_boltz	0.3580	-0.0000	-0.6620	-0.0003	-0.5480
1S1Q	0.9136	0.9134	0.9255	0.9136	0.9260	0.9000	2.0480	1.4960	0.9120	0.8160	4.8440	36.9020	28.1340	4.9620	3.8980	amber_boltz	0.9260	amber_boltz	0.8160	0.0002	-1.1360	0.0005	-0.6800
1S78	0.9733	0.9736	0.9797	0.9733	0.9795	0.8460	1.6920	1.1900	0.8600	0.4140	2.7080	23.9360	15.0540	2.8800	1.3400	boltz	0.9797	amber_boltz	0.4140	-0.0003	-0.8320	-0.0002	-0.7760
1SBB	0.6863	0.6892	0.9438	0.6869	0.9435	2.0220	2.1860	1.2220	1.9400	0.4820	11.0540	80.5880	16.5320	10.8800	1.7580	boltz	0.9438	amber_boltz	0.4820	-0.0023	-0.2460	-0.0003	-0.7400
1SYX	0.9952	0.9952	0.9875	0.9952	0.9874	0.1880	1.0440	1.1260	0.1520	0.4680	0.5700	10.8560	13.1920	0.4460	2.1440	af_unrelaxed	0.9952	amber_af	0.1520	-0.0000	-0.8920	-0.0001	-0.6580
1T6B	0.9815	0.9828	0.7400	0.9815	0.7398	1.1700	1.7360	1.8580	1.2040	1.1300	2.4260	34.7120	53.1420	2.8140	5.3680	af_unrelaxed	0.9828	amber_boltz	1.1300	-0.0013	-0.5320	-0.0001	-0.7280
1TMQ	0.9954	0.9955	0.9963	0.9954	0.9963	0.9560	1.9540	1.0360	0.9680	0.4280	3.4760	35.7160	8.7280	3.8440	0.5560	boltz	0.9963	amber_boltz	0.4280	-0.0001	-0.9860	-0.0000	-0.6080
1UDI	0.9944	0.9946	0.9944	0.9944	0.9942	0.4100	1.1400	0.9380	0.4080	0.3040	0.8920	13.4440	8.1220	0.8120	0.5300	af_unrelaxed	0.9946	amber_boltz	0.3040	-0.0002	-0.7320	-0.0002	-0.6340
1US7	0.9859	0.9861	0.9869	0.9859	0.9865	0.5300	1.4240	1.0360	0.5140	0.4300	1.8520	12.8440	8.9520	1.6940	1.6020	boltz	0.9869	amber_boltz	0.4300	-0.0002	-0.9100	-0.0004	-0.6060
1VFB	0.9880	0.9877	0.9882	0.9878	0.9882	0.8140	1.6840	1.2360	1.0280	0.4780	3.9180	27.5740	16.9540	5.5240	1.9420	boltz	0.9882	amber_boltz	0.4780	0.0001	-0.6560	0.0000	-0.7580
